OBJECTID,ISLAND,REGION,PROVINCE,DEO,CONG_DIST,ROAD_NAME,LOCATION,BRIDGE_ID,BR_NAME,BR_LENGTH,BR_TYPE1,BR_TYPE2,YR_CONST,ACTUAL_YR,CONDITION,NUM_ABUTT,NUM_PIER,NUM_SPAN,BR_WIDTH,BR_LIFE,LOAD_LIMIT,HT_OVER,HT_UNDER,L_SDWALK,R_SDWALK,NUM_LANES,BNR,CROSSING,BRGY,MUN,REMARKS,created_user,created_date,last_edited_user,last_edited_date,ROAD_SEC_CLASS,SEC_ID,SEC_LENGTH,ROUTE_NO,MaxBRHT,MaxPierHT,COMMENTS,ACTUAL_YR_CLEAN
2878,Luzon,Region IV-A,Quezon,Quezon 1st District Engineering Office,Quezon (First District),Lucena-Tayabas-Lucban-Sampaloc-Mauban Port Rd,16208,B02751LZ,Gunao Br.,16,Concrete,Permanent,Year Known,1975,Fair,2,0,1,0.0,0,15.0,0.0,0.0,0.82,0.8,2,0.113208,River/Waterway (fresh water),Gunao,Sampaloc,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S01555LZ,0,604,7.0,0.0,"ROUTINE MAINTEANACE - CLEANING AND SWEEPING OF BRIDGE DECK, VEGETATION CONTROL/CLEARING OF BRIDGE WATERWAYS, PAINTING WORKS , AND PLASTERING OF GROUTED RIPRAP. DEEP WATER",1975
2998,Luzon,Region IV-B,Palawan,Palawan 2nd District Engineering Office,Palawan (Second District),Puerto Princesa South Rd,2521,B00355PW,Apo Aporawan Br.,23,Concrete,Permanent,Year Known,2013,Poor,2,0,1,8.89,42,15.0,0.0,0.0,0.82,0.82,0,0.358491,River/Waterway (fresh water),Sandoval,Narra,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00001PW,0,490,5.23,0.0,Widening of 2lanes to 4lanes permanent bridge completed.,2013
3264,Luzon,Region IV-A,Quezon,Quezon 1st District Engineering Office,Quezon (First District),Lucena-Tayabas-Lucban-Sampaloc-Mauban Port Rd,7307,B02425LZ,Princesa Br.,41,Steel,Permanent,Year Known,1975,Bad,2,2,3,0.0,0,15.0,0.0,0.0,0.54,0.49,2,0.882353,River/Waterway (fresh water),Dapdap,Tayabas,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S01536LZ,0,603,18.4,8.8,FUNDED CY-2017_ONGOING CONSTRUCTION,1975
3348,Luzon,Region IV-B,Palawan,Palawan 2nd District Engineering Office,Palawan (Second District),Palawan Circum. Rd,30934,B00379PW,Sayab Br. 2,19,Concrete,Permanent,Year Known,2016,Poor,2,0,1,10.91,6,20.0,0.0,0.0,1.06,1.09,0,0.411458,River/Waterway (fresh water),Tagnato,Bataraza,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00063PW,0,490,2.7,0.0,"Construction of parallel Bridge on-going. A 1span, 2lanes RCDG bridge.",2016
3649,Luzon,Region IV-A,Quezon,Quezon 1st District Engineering Office,Quezon (First District),Tayabas-Mainit-Mauban Rd,16852,B02451LZ,Calsiagan Br.,21,Steel,Permanent,Year Known,1975,Fair,2,0,1,0.0,0,15.0,0.0,0.0,0.79,0.78,2,0.113208,River/Waterway (fresh water),Calsiagan,Mauban,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S01550LZ,0,605,6.72,0.0,"ROUTINE MAINTEANACE - CLEANING AND SWEEPING OF BRIDGE DECK, VEGETATION CONTROL/CLEARING OF BRIDGE WATERWAYS, PAINTING WORKS , AND PLASTERING OF GROUTED RIPRAP. DEEP WATER",1975
4159,Luzon,Region IV-B,Palawan,Palawan 2nd District Engineering Office,Palawan (Second District),Palawan Circum. Rd,30212,B00378PW,Sayab Br. 1,19,Concrete,Permanent,Year Known,2016,Fair,2,0,1,9.43,44,20.0,0.0,0.0,1.14,1.02,0,0.132075,River/Waterway (fresh water),Tagnato,Bataraza,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00063PW,0,490,4.59,0.0,"Bridge retrofitting/Strengthening under Fy 2019 Instrastructure program, undertaking Installation of carbon fiber materials on girder & slab, Deck slab mortar toping & Construction of bridge approach slope protection.",2016
4575,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Second District),Bacolod North Rd,3302,B00145NR,Tresfuentes Br.,11,Concrete,Permanent,Year Known,1960,Fair,2,0,1,0.0,40,0.0,0.0,0.0,0.0,0.0,4,0.044025,Not Specified,Poblacion,Silay City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00406NR,0,7,0.0,0.0,Routine Maintenance,1960
4590,Visayas,Region VI,Negros Occidental,Negros Occidental Sub-District Engineering Office,Negros Occidental (First District),Bacolod North Rd,32617,B00179NR,Daan-Lunsod Br.,50,Concrete,Permanent,Year Known,1960,Fair,2,4,5,0.0,14,18.0,0.0,0.0,1.59,1.59,2,0.031746,River/Waterway (fresh water),Lemery,Calatrava,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00425NR,0,7,4.75,4.58,ON-GOING WIDENING CY 2019,1960
4638,Visayas,Region VI,Negros Occidental,Negros Occidental Sub-District Engineering Office,Negros Occidental (First District),Stop Aguinaldo-Bug-ang Rd,7029,B00437NR,Canubgan Br.2,37,Steel,Permanent,Year Known,2008,Fair,2,0,1,0.0,15,0.0,0.0,0.0,0.0,0.0,2,0.0,Not Specified,San Isidro,Toboso,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00395NR,0,0,0.0,0.0,PAINT PEEL OFF MAIN MEMBERS & SECONDARY MEMBERS,2008
4721,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Third District),Bacolod-Murcia-DS Benedicto-Sn Carlos City Rd,224,B00435NR,Caliban Br. 2,68,Concrete,Permanent,Year Known,2007,Fair,2,0,1,0.0,20,0.0,0.0,0.0,0.0,0.0,2,0.188679,Not Specified,Caliban,Murcia,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00029NR,0,0,0.0,0.0,REPAINTING OF MAIN MEMBERS & DIFF. OF ELEVATION EXPANSION JOINT @ ABUT. B,2007
4751,Visayas,Region VI,Antique,Antique District Engineering Office,Antique (Lone District),Bugo-Gen Fullon Rd,61,B00551PN,Igmataning Br.,25,Concrete,Permanent,Year Known,2017,Fair,2,1,2,0.0,47,0.0,0.0,0.0,0.72,0.73,2,0.091954,River/Waterway (fresh water),Sinundulan,San Remigio,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00380PN,0,0,7.2,5.0,Newly constructed.,2017
4792,Visayas,Region VI,Negros Occidental,Negros Occidental Sub-District Engineering Office,Negros Occidental (First District),Jct DS Benedicto-Spur 16-Calatrava Rd,13553,B00441NR,Bago Br.,60,Steel,Permanent,Year Known,2009,Fair,2,0,1,0.0,20,0.0,0.0,0.0,0.0,0.0,2,0.213836,Not Specified,Bago,Ds Benedicto,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00001NR,0,708,0.0,0.0,REPAINTING & NO SEALANT EXPANSION JOINT @ ABUT. A& B,2009
4823,Visayas,Region VI,Aklan,Aklan District Engineering Office,Aklan (Second District),Aklan West Rd (Kalibo-Nabas),37762,B00510PN,Alegria Br.,100,Concrete,Permanent,Year Known,2014,Fair,2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0.069182,Not Specified,,,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00480PN,0,502,0.0,0.0,Newly widened,2014
5049,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Second District),Bacolod North Rd (Old Route),4996,B00174NR,Sangay Br.,46,Concrete,Permanent,Year Known,1984,Fair,2,4,5,0.0,20,0.0,0.0,0.0,0.0,0.0,2,0.05291,Not Specified,Fabrica,Sagay City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00397NR,0,0,0.0,6.3,Routine Maintenance,1984
5067,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Third District),Bacolod North Rd,589,B00314NR,Matab-ang Br. 1,65,Concrete,Permanent,Year Known,1980,Fair,2,5,6,0.0,40,0.0,0.0,0.0,0.0,0.0,2,0.06278,Not Specified,Zone 15,Talisay City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00024NR,0,7,0.0,6.6,NEWLY RETROFITTED CY - 2016,1980
5083,Visayas,Region VI,Aklan,Aklan District Engineering Office,Aklan (Second District),Aklan West Rd (Kalibo-Nabas),45484,B00512PN,Santander Br.,21,Concrete,Permanent,Year Known,2014,Fair,2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0.069182,Not Specified,,,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00480PN,0,502,0.0,0.0,Widened/completed from 1 lane to 2 lanes,2014
5198,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Second District),Bacolod North Rd,6119,B00146NR,Imbang Br. 1,63,Concrete,Permanent,Year Known,1950,Fair,2,3,4,0.0,40,0.0,0.0,0.0,0.0,0.0,1,0.044086,Not Specified,Adela,Silay City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00406NR,0,7,0.0,7.82,RETROFITTED,1950
5379,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Third District),Bacolod Silay Airport Access Rd,487,B00489NR,Logoy Br.,68,Concrete,Permanent,Year Known,2012,Good,2,2,3,0.0,40,0.0,0.0,0.0,0.0,0.0,2,0.0,River/Waterway (fresh water),Matab-Ang,Talisay City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00031NR,0,716,8.25,9.0,WIDENED CY 2018,2012
5392,Visayas,Region VI,Negros Occidental,Negros Occidental Sub-District Engineering Office,Negros Occidental (First District),Jct DS Benedicto-Spur 16-Calatrava Rd,6934,B00294NR,Wadianan Br.,8,Concrete,Permanent,Year Known,1986,Fair,2,0,1,0.0,15,0.0,0.0,0.0,0.0,0.0,1,0.125786,Not Specified,Bagong Silang,Ds  Benedicto,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00001NR,0,708,0.0,0.0,Corrossion at steel Girder.,1986
5418,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Second District),Bacolod North Rd,57908,B00172NR,Paniquion Br.,24,Steel,Permanent,Year Known,1968,Good,2,0,1,0.0,15,18.0,0.0,0.0,0.0,0.0,2,0.012579,River/Waterway (fresh water),Cabahug,Cadiz City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00406NR,0,7,0.0,0.0,New Bridge. Routine Maintenance only,1968
5429,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Second District),Bacolod North Rd,53254,B00170NR,Lag-asan Br.,50,Concrete,Permanent,Year Known,1983,Fair,2,1,2,0.0,15,0.0,0.0,0.0,0.0,0.0,2,0.157895,Not Specified,Tinampaan,Cadiz City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00406NR,0,7,0.0,6.3,"NEWLY RETROFITTED CY - 2016,  WIDENING CY. 2020",1983
5661,Visayas,Region VI,Aklan,Aklan District Engineering Office,Aklan (Second District),Aklan West Rd (Kalibo-Nabas),41589,B00511PN,Tigum Br.,16,Concrete,Permanent,Year Known,2014,Good,2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0.044025,Not Specified,,,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00480PN,0,502,0.0,0.0,Newly widened,2014
5679,Visayas,Region VI,Negros Occidental,Negros Occidental 1st District Engineering Office,Negros Occidental (Second District),Bacolod North Rd,19862,B00153NR,Carugiat Br.,21,Concrete,Permanent,Year Known,1927,Good,2,2,3,0.0,40,0.0,0.0,0.0,0.0,0.0,2,0.001377,Not Specified,Brgy 13,Victorias City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00406NR,0,7,0.0,2.45,Routine Maintenance,1927
6041,Visayas,Region VIII,Leyte,Tacloban City District Engineering Office,Leyte (First District),Daang Maharlika (Sn Juanico Br),0,B00018LT,San Juanico Br.,2100,Steel,Permanent,Year Known,1972,Fair,0,0,0,14.0,30,0.0,0.0,0.0,0.0,0.0,2,0.0,Not Specified,Bagacay,Tacloban,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00013LT,0,1,0.0,0.0,Needs Major Maintenance,1972
6701,Visayas,Region VII,Negros Oriental,Negros Oriental 3rd District Engineering Office,Negros Oriental (Third District),Bayawan-Kabankalan Rd,7231,B00049NR,Guisocon Br.,14,Concrete,Permanent,Year Known,1977,Good,2,0,1,0.0,30,20.0,0.0,3.0,0.7,0.7,2,0.0,Not Specified,Nangka,Bayawan City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00270NR,0,0,5.0,0.0,no defect,1977
6804,Visayas,Region VIII,Northern Samar,Northern Samar 2nd District Engineering Office,Northern Samar (Second District),Sn Roque-Cababtoan Old Rd,284,B00317SM,San Roque Br.,126,Bailey,Temporary,1945-1970,1970,Bad,2,3,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.696774,Not Specified,Laoangan,San Roque,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00056SM,0,0,0.0,4.5,On-going bridge replacement under GAA 2020 (Implemented by Regional Office),1970
6974,Mindanao,Region X,Misamis Oriental,Cagayan de Oro City 2nd District Engineering Office,Cagayan De Oro City (Second District),Butuan City-Cagayan de Oro City-Iligan City Rd,14780,B01396MN,Marcos Br.,414,Concrete,Permanent,Year Known,1976,Good,2,15,16,18.0,10,200.0,0.0,0.0,1.2,1.2,4,0.0,Open Ground,Poblacion,Cagayan De Oro City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S01245MN,0,9,13.5,5.3,good condition,1976
8183,Mindanao,Region XI,Davao del Sur,Davao City District Engineering Office,Davao City (First District),Daang Maharlika (MN),18640,B01864MN,Sasa Br.,18,Concrete,Permanent,Year Known,1971,Fair,2,0,1,18.55,20,15.0,0.0,0.0,1.15,1.15,0,0.075472,River/Waterway (fresh water),Sasa,Davao City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00001MN,0,1,3.0,0.0,deteriorated asphalt sealant on expantion joint,1971
