row_index,bridge_id,column,action_taken,new_value,notes
73,B04307LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
74,B00954LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
76,B04282LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
82,B02782LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
85,B02260LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
90,B01784LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
91,B00937LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
99,B03376LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
108,B03283LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
110,B04405LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
111,B01749LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
113,B00924LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
119,B02660LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
122,B00901LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
123,B01851LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
125,B04882LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
131,B01814LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
134,B04832LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
135,B00938LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
137,B03319LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
139,B03219LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
140,B02364LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
143,B01810LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
145,B01820LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
148,B01733LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
150,B04845LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
153,B04404LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
160,B01852LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
161,B04197LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
167,B03320LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
173,B00953LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
176,B02263LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
179,B04843LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
197,B02119LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
199,B04850LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
203,B04309LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
204,B00925LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
207,B04831LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
217,B00568LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
225,B01358LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
227,B04749LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
231,B02662LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
234,B03228LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
238,B01858LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
240,B02619LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
243,B03315LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
245,B04751LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
246,B02121LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
247,B03267LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
252,B01414LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
260,B03321LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
261,B01847LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
281,B01798LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
284,B04849LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
301,B03216LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
305,B00886LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
308,B04318LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
310,B03266LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
314,B01027LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
315,B04733LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
317,B04881LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
322,B00994LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
330,B02285LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
331,B00956LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
333,B00902LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
335,B01785LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
341,B01026LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
346,B04618LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
349,B01846LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
355,B04308LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
359,B04731LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
362,B00566LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
365,B04842LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
371,B04395LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
374,B04840LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
377,B04288LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
379,B03268LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
383,B04747LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
387,B04952LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
388,B04734LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
395,B04277LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
396,B04382LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
404,B04283LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
405,B01756LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
408,B02231LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
416,B01824LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
418,B04884LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
419,B02118LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
421,B04381LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
428,B00923LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
432,B03220LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
442,B04217LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
447,B04317LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
448,B00931LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
450,B04750LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
458,B02679LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
460,B01818LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
462,B02192LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
464,B02371LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
465,B03265LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
471,B04844LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
472,B01811LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
474,B04380LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
487,B01053LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
490,B04287LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
491,B01825LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
493,B02191LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
495,B04384LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
499,B02798LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
502,B04841LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
506,B04396LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
509,B01876LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
510,B00959LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
515,B02091LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
523,B02114LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
528,B00967LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
531,B04848LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
535,B04215LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
543,B04397LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
545,B00530LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
547,B04776LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
553,B02326LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
562,B04446LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
564,B04223LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
568,B04257LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
572,B01786LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
576,B00727LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
591,B03359LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
599,B00650LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
602,B01854LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
612,B01136LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
617,B04633LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
620,B03224LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
623,B04601LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
639,B01143LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
645,B01949LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
646,B03322LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
647,B04324LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
656,B02773LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
660,B04263LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
661,B01965LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
662,B00004ST,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
663,B01335LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
665,B00567LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
668,B04248LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
669,B04872LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
674,B04172LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
686,B01597LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
689,B01126LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
693,B04250LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
694,B01016LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
696,B02347LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
699,B00548LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
702,B00751LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
704,B04870LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
707,B02350LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
710,B01045LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
711,B04917LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
714,B04782LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
716,B00593LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
722,B02301LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
727,B04227LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
735,B01859LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
736,B03236LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
737,B04630LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
740,B01012LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
744,B04740LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
745,B04852LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
747,B04491LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
752,B01559LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
767,B01664LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
773,B00534LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
776,B01619LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
777,B04264LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
783,B01041LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
789,B01962LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
792,B04868LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
794,B04939LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
799,B04519LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
802,B04482LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
809,B04222LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
810,B02313LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
812,B04851LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
815,B04869LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
818,B02676LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
836,B01135LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
837,B00598LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
850,B00653LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
854,B04253LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
855,B01043LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
856,B00875LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
858,B01133LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
862,B04470LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
871,B04775LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
873,B00723LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
877,B04594LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
886,B02277LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
887,B01122LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
891,B04249LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
894,B04987LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
898,B04778LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
907,B01014LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
908,B01618LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
909,B03332LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
911,B00812LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
914,B00793LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
917,B04259LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
920,B04484LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
927,B00638LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
935,B02794LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
936,B01131LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
937,B04520LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
945,B00547LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
954,B00741LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
958,B02685LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
964,B04984LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
965,B04171LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
971,B00765LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
974,B04436LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
976,B01805LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
980,B04251LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
985,B00523LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
986,B04913LZ,LOAD_LIMIT,IMPUTED_MEDIAN,15.0,Imputed missing/zero numerical value using regional median.
